,zip,statecode,county,city_town,climate.Zone,city,state,latitude,longitude
23,01031,MA,WORCESTER,GILBERTVILLE,5A,Gilbertville,MA,42.33071,-72.18833
24,01032,MA,HAMPSHIRE,GOSHEN,5A,Goshen,MA,42.45792,-72.81551
25,01033,MA,HAMPSHIRE,GRANBY,5A,Granby,MA,42.254563,-72.51831
26,01034,MA,HAMPDEN,GRANVILLE,5A,Granville,MA,42.086224,-72.94464
27,01035,MA,HAMPSHIRE,HADLEY,5A,Hadley,MA,42.35549,-72.5733
28,01036,MA,HAMPDEN,HAMPDEN,5A,Hampden,MA,42.064703,-72.41735
29,01037,MA,WORCESTER,HARDWICK,5A,Hardwick,MA,42.374202,-72.19524
30,01038,MA,HAMPSHIRE,HATFIELD,5A,Hatfield,MA,42.375155,-72.60832
31,01039,MA,HAMPSHIRE,HAYDENVILLE,5A,Haydenville,MA,42.381475,-72.69259
32,01040,MA,HAMPDEN,HOLYOKE,5A,Holyoke,MA,42.201891,-72.6242
33,01041,MA,HAMPDEN,HOLYOKE,5A,Holyoke,MA,42.170731,-72.604842
34,01050,MA,HAMPSHIRE,HUNTINGTON,5A,Huntington,MA,42.290209,-72.87942
35,01053,MA,HAMPSHIRE,LEEDS,5A,Leeds,MA,42.353105,-72.70206
36,01054,MA,FRANKLIN,LEVERETT,5A,Leverett,MA,42.479839,-72.49879
37,01056,MA,HAMPDEN,LUDLOW,5A,Ludlow,MA,42.174893,-72.47068
38,01057,MA,HAMPDEN,MONSON,5A,Monson,MA,42.089269,-72.317
39,01059,MA,HAMPSHIRE,NORTH AMHERST,5A,North Amherst,MA,42.369562,-72.63599
40,01060,MA,HAMPSHIRE,NORTHAMPTON,5A,Northampton,MA,42.324539,-72.63561
41,01061,MA,HAMPSHIRE,NORTHAMPTON,5A,Northampton,MA,42.369562,-72.63599
42,01062,MA,HAMPSHIRE,FLORENCE,5A,Florence,MA,42.324232,-72.67915
43,01063,MA,HAMPSHIRE,NORTHAMPTON,5A,Northampton,MA,42.317939,-72.640234
44,01066,MA,HAMPSHIRE,NORTH HATFIELD,5A,North Hatfield,MA,42.406697,-72.633901
45,01068,MA,WORCESTER,OAKHAM,5A,Oakham,MA,42.349769,-72.04413
46,01069,MA,HAMPDEN,PALMER,5A,Palmer,MA,42.176401,-72.32646
47,01070,MA,HAMPSHIRE,PLAINFIELD,5A,Plainfield,MA,42.515853,-72.91661
48,01071,MA,HAMPDEN,RUSSELL,5A,Russell,MA,42.165931,-72.85153
49,01072,MA,FRANKLIN,SHUTESBURY,5A,Shutesbury,MA,42.486027,-72.42208
50,01073,MA,HAMPSHIRE,SOUTHAMPTON,5A,Southampton,MA,42.223885,-72.72777
51,01074,MA,WORCESTER,SOUTH BARRE,5A,South Barre,MA,42.375998,-72.149388
52,01075,MA,HAMPSHIRE,SOUTH HADLEY,5A,South Hadley,MA,42.234891,-72.58243
53,01077,MA,HAMPDEN,SOUTHWICK,5A,Southwick,MA,42.05283,-72.76966
54,01079,MA,HAMPDEN,THORNDIKE,5A,Thorndike,MA,42.192892,-72.329574
55,01080,MA,HAMPDEN,THREE RIVERS,5A,Three Rivers,MA,42.180563,-72.36518
56,01081,MA,HAMPDEN,WALES,5A,Wales,MA,42.058024,-72.22517
57,01082,MA,HAMPSHIRE,WARE,5A,Ware,MA,42.270611,-72.26067
58,01083,MA,WORCESTER,WARREN,5A,Warren,MA,42.20468,-72.20259
59,01084,MA,HAMPSHIRE,WEST CHESTERFIELD,5A,West Chesterfield,MA,42.379807,-72.89043
60,01085,MA,HAMPDEN,WESTFIELD,5A,Westfield,MA,42.133642,-72.75029
61,01086,MA,HAMPDEN,WESTFIELD,5A,Westfield,MA,42.173428,-72.847964
62,01088,MA,HAMPSHIRE,WEST HATFIELD,5A,West Hatfield,MA,42.388831,-72.6321
63,01089,MA,HAMPDEN,WEST SPRINGFIELD,5A,West Springfield,MA,42.112793,-72.64066
64,01090,MA,HAMPDEN,WEST SPRINGFIELD,5A,West Springfield,MA,42.170731,-72.604842
65,01092,MA,WORCESTER,WEST WARREN,5A,West Warren,MA,42.210777,-72.23904
66,01093,MA,FRANKLIN,WHATELY,5A,Whately,MA,42.442673,-72.652511
67,01094,MA,WORCESTER,WHEELWRIGHT,5A,Wheelwright,MA,42.358201,-72.140846
68,01095,MA,HAMPDEN,WILBRAHAM,5A,Wilbraham,MA,42.12531,-72.44057
69,01096,MA,HAMPSHIRE,WILLIAMSBURG,5A,Williamsburg,MA,42.415236,-72.78271
70,01098,MA,HAMPSHIRE,WORTHINGTON,5A,Worthington,MA,42.399054,-72.93871
71,01101,MA,HAMPDEN,SPRINGFIELD,5A,Springfield,MA,42.170731,-72.604842
72,01102,MA,HAMPDEN,SPRINGFIELD,5A,Springfield,MA,42.170731,-72.604842
73,01103,MA,HAMPDEN,SPRINGFIELD,5A,Springfield,MA,42.103294,-72.59112
74,01104,MA,HAMPDEN,SPRINGFIELD,5A,Springfield,MA,42.130343,-72.57338
75,01105,MA,HAMPDEN,SPRINGFIELD,5A,Springfield,MA,42.096644,-72.5798
76,01106,MA,HAMPDEN,LONGMEADOW,5A,Longmeadow,MA,42.050395,-72.5712
77,01107,MA,HAMPDEN,SPRINGFIELD,5A,Springfield,MA,42.120193,-72.6061
78,01108,MA,HAMPDEN,SPRINGFIELD,5A,Springfield,MA,42.084094,-72.55523
79,01109,MA,HAMPDEN,SPRINGFIELD,5A,Springfield,MA,42.116277,-72.55031
80,01111,MA,HAMPDEN,SPRINGFIELD,5A,Springfield,MA,42.170731,-72.604842
81,01115,MA,HAMPDEN,SPRINGFIELD,5A,Springfield,MA,42.102894,-72.591633
82,01116,MA,HAMPDEN,LONGMEADOW,5A,Longmeadow,MA,42.170731,-72.604842
83,01118,MA,HAMPDEN,SPRINGFIELD,5A,Springfield,MA,42.093144,-72.5291
84,01119,MA,HAMPDEN,SPRINGFIELD,5A,Springfield,MA,42.128442,-72.50932
85,01128,MA,HAMPDEN,SPRINGFIELD,5A,Springfield,MA,42.095344,-72.48857
86,01129,MA,HAMPDEN,SPRINGFIELD,5A,Springfield,MA,42.121031,-72.4896
87,01138,MA,HAMPDEN,SPRINGFIELD,5A,Springfield,MA,42.170731,-72.604842
88,01139,MA,HAMPDEN,SPRINGFIELD,5A,Springfield,MA,42.170731,-72.604842
89,01144,MA,HAMPDEN,SPRINGFIELD,5A,Springfield,MA,42.101796,-72.59151
90,01151,MA,HAMPDEN,INDIAN ORCHARD,5A,Indian Orchard,MA,42.153926,-72.50531
91,01152,MA,HAMPDEN,SPRINGFIELD,5A,Springfield,MA,42.170731,-72.604842
92,01199,MA,HAMPDEN,SPRINGFIELD,5A,Springfield,MA,42.119943,-72.604983
93,01201,MA,BERKSHIRE,PITTSFIELD,5A,Pittsfield,MA,42.45384,-73.254
94,01202,MA,BERKSHIRE,PITTSFIELD,5A,Pittsfield,MA,42.3929,-73.228483
95,01203,MA,BERKSHIRE,PITTSFIELD,5A,Pittsfield,MA,42.3929,-73.228483
96,01220,MA,BERKSHIRE,ADAMS,5A,Adams,MA,42.619727,-73.11842
97,01222,MA,BERKSHIRE,ASHLEY FALLS,5A,Ashley Falls,MA,42.057496,-73.32177
98,01223,MA,BERKSHIRE,BECKET,5A,Becket,MA,42.314449,-73.09335
99,01224,MA,BERKSHIRE,BERKSHIRE,5A,Berkshire,MA,42.3929,-73.228483
100,01225,MA,BERKSHIRE,CHESHIRE,5A,Cheshire,MA,42.551731,-73.1653
101,01226,MA,BERKSHIRE,DALTON,5A,Dalton,MA,42.476575,-73.11547
102,01227,MA,BERKSHIRE,DALTON,5A,Dalton,MA,42.516145,-73.092852
103,01229,MA,BERKSHIRE,GLENDALE,5A,Glendale,MA,42.279292,-73.343545
104,01230,MA,BERKSHIRE,GREAT BARRINGTON,5A,Great Barrington,MA,42.189715,-73.35249
105,01235,MA,BERKSHIRE,HINSDALE,5A,Hinsdale,MA,42.433661,-73.09278
106,01236,MA,BERKSHIRE,HOUSATONIC,5A,Housatonic,MA,42.266874,-73.36236
107,01237,MA,BERKSHIRE,LANESBORO,5A,Lanesboro,MA,42.557346,-73.24364
108,01238,MA,BERKSHIRE,LEE,5A,Lee,MA,42.299263,-73.2327
109,01240,MA,BERKSHIRE,LENOX,5A,Lenox,MA,42.36237,-73.27683
110,01242,MA,BERKSHIRE,LENOX DALE,5A,Lenox Dale,MA,42.336557,-73.24599
111,01243,MA,HAMPSHIRE,MIDDLEFIELD,5A,Middlefield,MA,42.356088,-73.010448
112,01244,MA,BERKSHIRE,MILL RIVER,5A,Mill River,MA,42.139104,-73.20312
113,01245,MA,BERKSHIRE,MONTEREY,5A,Monterey,MA,42.180659,-73.20849
114,01247,MA,BERKSHIRE,NORTH ADAMS,5A,North Adams,MA,42.696064,-73.10145
115,01252,MA,BERKSHIRE,NORTH EGREMONT,5A,North Egremont,MA,42.198648,-73.446234
116,01253,MA,BERKSHIRE,OTIS,5A,Otis,MA,42.198403,-73.10205
117,01254,MA,BERKSHIRE,RICHMOND,5A,Richmond,MA,42.374711,-73.36336
118,01255,MA,BERKSHIRE,SANDISFIELD,5A,Sandisfield,MA,42.088973,-73.12444
119,01256,MA,BERKSHIRE,SAVOY,5A,Savoy,MA,42.592506,-73.01123
120,01257,MA,BERKSHIRE,SHEFFIELD,5A,Sheffield,MA,42.102694,-73.36591
121,01258,MA,BERKSHIRE,SOUTH EGREMONT,5A,South Egremont,MA,42.103122,-73.45734
122,01259,MA,BERKSHIRE,SOUTHFIELD,5A,Southfield,MA,42.0645,-73.24674
123,01260,MA,BERKSHIRE,SOUTH LEE,5A,South Lee,MA,42.286586,-73.313274
124,01262,MA,BERKSHIRE,STOCKBRIDGE,5A,Stockbridge,MA,42.283216,-73.31423
125,01264,MA,BERKSHIRE,TYRINGHAM,5A,Tyringham,MA,42.224905,-73.20394
126,01266,MA,BERKSHIRE,WEST STOCKBRIDGE,5A,West Stockbridge,MA,42.328535,-73.36407
127,01267,MA,BERKSHIRE,WILLIAMSTOWN,5A,Williamstown,MA,42.689962,-73.22355
128,01270,MA,BERKSHIRE,WINDSOR,5A,Windsor,MA,42.443726,-73.116127
129,01301,MA,FRANKLIN,GREENFIELD,5A,Greenfield,MA,42.605524,-72.60098
130,01302,MA,FRANKLIN,GREENFIELD,5A,Greenfield,MA,42.522178,-72.624164
131,01330,MA,FRANKLIN,ASHFIELD,5A,Ashfield,MA,42.521131,-72.81116
132,01331,MA,WORCESTER,ATHOL,5A,Athol,MA,42.579931,-72.20836
133,01337,MA,FRANKLIN,BERNARDSTON,5A,Bernardston,MA,42.678023,-72.55569
134,01338,MA,FRANKLIN,BUCKLAND,5A,Buckland,MA,42.569498,-72.802
135,01339,MA,FRANKLIN,CHARLEMONT,5A,Charlemont,MA,42.626858,-72.87939
136,01340,MA,FRANKLIN,COLRAIN,5A,Colrain,MA,42.673371,-72.73104
137,01341,MA,FRANKLIN,CONWAY,5A,Conway,MA,42.508313,-72.70403
138,01342,MA,FRANKLIN,DEERFIELD,5A,Deerfield,MA,42.542322,-72.6091
139,01343,MA,BERKSHIRE,DRURY,5A,Drury,MA,42.642666,-72.986231
140,01344,MA,FRANKLIN,ERVING,5A,Erving,MA,42.607051,-72.41396
141,01346,MA,FRANKLIN,HEATH,5A,Heath,MA,42.669255,-72.80494
142,01347,MA,FRANKLIN,LAKE PLEASANT,5A,Lake Pleasant,MA,42.556558,-72.518104
143,01349,MA,FRANKLIN,MILLERS FALLS,5A,Turners Falls,MA,42.5737,-72.50525
144,01350,MA,FRANKLIN,MONROE BRIDGE,5A,Monroe Bridge,MA,42.712257,-72.97629
145,01351,MA,FRANKLIN,MONTAGUE,5A,Montague,MA,42.534976,-72.52522
146,01354,MA,FRANKLIN,GILL,5A,Northfield,MA,42.522178,-72.624164
147,01355,MA,FRANKLIN,NEW SALEM,5A,New Salem,MA,42.485899,-72.33345
148,01360,MA,FRANKLIN,NORTHFIELD,5A,Northfield,MA,42.682285,-72.45649
149,01364,MA,FRANKLIN,ORANGE,5A,Orange,MA,42.599614,-72.29263
150,01366,MA,WORCESTER,PETERSHAM,5A,Petersham,MA,42.474718,-72.21226
151,01367,MA,FRANKLIN,ROWE,5A,Rowe,MA,42.694883,-72.90962
152,01368,MA,WORCESTER,ROYALSTON,5A,Royalston,MA,42.671012,-72.16999
153,01370,MA,FRANKLIN,SHELBURNE FALLS,5A,Shelburne Falls,MA,42.603447,-72.72754
154,01373,MA,FRANKLIN,SOUTH DEERFIELD,5A,South Deerfield,MA,42.472734,-72.62452
155,01375,MA,FRANKLIN,SUNDERLAND,5A,Sunderland,MA,42.449978,-72.56302
156,01376,MA,FRANKLIN,TURNERS FALLS,5A,Turners Falls,MA,42.609425,-72.54438
157,01378,MA,FRANKLIN,WARWICK,5A,Warwick,MA,42.667152,-72.32729
158,01379,MA,FRANKLIN,WENDELL,5A,Wendell,MA,42.547274,-72.41724
159,01380,MA,FRANKLIN,WENDELL DEPOT,5A,Wendell Depot,MA,42.594455,-72.36314
160,01420,MA,WORCESTER,FITCHBURG,5A,Fitchburg,MA,42.578689,-71.80338
161,01430,MA,WORCESTER,ASHBURNHAM,5A,Ashburnham,MA,42.658768,-71.93287
162,01431,MA,MIDDLESEX,ASHBY,5A,Ashby,MA,42.672005,-71.8137
163,01432,MA,MIDDLESEX,AYER,5A,Ayer,MA,42.549821,-71.59136
164,01434,MA,MIDDLESEX,DEVENS,5A,Devens,MA,42.53,-71.61
165,01436,MA,WORCESTER,BALDWINVILLE,5A,Baldwinville,MA,42.608903,-72.08021
166,01438,MA,WORCESTER,EAST TEMPLETON,5A,East Templeton,MA,42.563367,-72.03498
167,01440,MA,WORCESTER,GARDNER,5A,Gardner,MA,42.575355,-71.99183
168,01441,MA,WORCESTER,WESTMINSTER,5A,Gardner,MA,42.364807,-71.896868
169,01450,MA,MIDDLESEX,GROTON,5A,Groton,MA,42.609887,-71.55722
170,01451,MA,WORCESTER,HARVARD,5A,Harvard,MA,42.505928,-71.5888
171,01452,MA,WORCESTER,HUBBARDSTON,5A,Hubbardston,MA,42.477515,-71.99654
172,01453,MA,WORCESTER,LEOMINSTER,5A,Leominster,MA,42.526523,-71.75358
173,01460,MA,MIDDLESEX,LITTLETON,5A,Littleton,MA,42.540052,-71.49085
174,01462,MA,WORCESTER,LUNENBURG,5A,Lunenburg,MA,42.582839,-71.72051
175,01463,MA,MIDDLESEX,PEPPERELL,5A,Pepperell,MA,42.665686,-71.5929
176,01464,MA,MIDDLESEX,SHIRLEY,5A,Shirley,MA,42.559289,-71.64555
177,01467,MA,WORCESTER,STILL RIVER,5A,Still River,MA,42.488666,-71.62412
178,01468,MA,WORCESTER,TEMPLETON,5A,Templeton,MA,42.557796,-72.06824
179,01469,MA,MIDDLESEX,TOWNSEND,5A,Townsend,MA,42.658738,-71.69204
180,01471,MA,MIDDLESEX,GROTON,5A,Groton,MA,42.446396,-71.459405
181,01472,MA,MIDDLESEX,WEST GROTON,5A,West Groton,MA,42.446396,-71.459405
182,01473,MA,WORCESTER,WESTMINSTER,5A,Westminster,MA,42.544622,-71.9021
183,01474,MA,MIDDLESEX,WEST TOWNSEND,5A,West Townsend,MA,42.669408,-71.74578
184,01475,MA,WORCESTER,WINCHENDON,5A,Winchendon,MA,42.675441,-72.0467
185,01477,MA,WORCESTER,WINCHENDON SPRINGS,5A,Winchendon Springs,MA,42.364807,-71.896868
186,01501,MA,WORCESTER,AUBURN,5A,Auburn,MA,42.20361,-71.83843
187,01503,MA,WORCESTER,BERLIN,5A,Berlin,MA,42.380562,-71.62665
188,01504,MA,WORCESTER,BLACKSTONE,5A,Blackstone,MA,42.028147,-71.52999
189,01505,MA,WORCESTER,BOYLSTON,5A,Boylston,MA,42.338392,-71.73026
190,01506,MA,WORCESTER,BROOKFIELD,5A,Brookfield,MA,42.200374,-72.09787
191,01507,MA,WORCESTER,CHARLTON,5A,Charlton,MA,42.135142,-71.96961
192,01508,MA,WORCESTER,CHARLTON CITY,5A,Charlton City,MA,42.109748,-72.079455
193,01509,MA,WORCESTER,CHARLTON DEPOT,5A,Charlton Depot,MA,42.364807,-71.896868
194,01510,MA,WORCESTER,CLINTON,5A,Clinton,MA,42.418836,-71.68482
195,01515,MA,WORCESTER,EAST BROOKFIELD,5A,East Brookfield,MA,42.212777,-72.05311
196,01516,MA,WORCESTER,DOUGLAS,5A,Douglas,MA,42.061437,-71.72887
197,01518,MA,WORCESTER,FISKDALE,5A,Fiskdale,MA,42.12515,-72.12393
198,01519,MA,WORCESTER,GRAFTON,5A,Grafton,MA,42.201674,-71.68771
199,01520,MA,WORCESTER,HOLDEN,5A,Holden,MA,42.338962,-71.84434
200,01521,MA,HAMPDEN,HOLLAND,5A,Holland,MA,42.054676,-72.16137
201,01522,MA,WORCESTER,JEFFERSON,5A,Jefferson,MA,42.369658,-71.87418
202,01523,MA,WORCESTER,LANCASTER,5A,Lancaster,MA,42.473131,-71.67946
203,01524,MA,WORCESTER,LEICESTER,5A,Leicester,MA,42.238942,-71.91908
204,01525,MA,WORCESTER,LINWOOD,5A,Linwood,MA,42.364807,-71.896868
205,01526,MA,WORCESTER,MANCHAUG,5A,Manchaug,MA,42.364807,-71.896868
206,01527,MA,WORCESTER,MILLBURY,5A,Millbury,MA,42.196144,-71.76272
207,01529,MA,WORCESTER,MILLVILLE,5A,Millville,MA,42.036396,-71.57798
208,01531,MA,WORCESTER,NEW BRAINTREE,5A,New Braintree,MA,42.317121,-72.12248
209,01532,MA,WORCESTER,NORTHBOROUGH,5A,Northborough,MA,42.321917,-71.64692
210,01534,MA,WORCESTER,NORTHBRIDGE,5A,Northbridge,MA,42.140741,-71.64376
211,01535,MA,WORCESTER,NORTH BROOKFIELD,5A,North Brookfield,MA,42.267274,-72.07823
212,01536,MA,WORCESTER,NORTH GRAFTON,5A,North Grafton,MA,42.231444,-71.70523
213,01537,MA,WORCESTER,NORTH OXFORD,5A,North Oxford,MA,42.170846,-71.88989
214,01538,MA,WORCESTER,NORTH UXBRIDGE,5A,North Uxbridge,MA,42.364807,-71.896868
215,01540,MA,WORCESTER,OXFORD,5A,Oxford,MA,42.117527,-71.8657
216,01541,MA,WORCESTER,PRINCETON,5A,Princeton,MA,42.451569,-71.882
217,01542,MA,WORCESTER,ROCHDALE,5A,Rochdale,MA,42.194793,-71.90651
218,01543,MA,WORCESTER,RUTLAND,5A,Rutland,MA,42.380877,-71.96427
219,01545,MA,WORCESTER,SHREWSBURY,5A,Shrewsbury,MA,42.286643,-71.72502
220,01546,MA,WORCESTER,SHREWSBURY,5A,Shrewsbury,MA,42.364807,-71.896868
221,01550,MA,WORCESTER,SOUTHBRIDGE,5A,Southbridge,MA,42.070827,-72.03533
222,01560,MA,WORCESTER,SOUTH GRAFTON,5A,South Grafton,MA,42.177462,-71.69382
223,01561,MA,WORCESTER,SOUTH LANCASTER,5A,South Lancaster,MA,42.443539,-71.686137
224,01562,MA,WORCESTER,SPENCER,5A,Spencer,MA,42.247212,-71.99227
225,01564,MA,WORCESTER,STERLING,5A,Sterling,MA,42.436875,-71.77333
226,01566,MA,WORCESTER,STURBRIDGE,5A,Sturbridge,MA,42.104581,-72.08584
227,01568,MA,WORCESTER,UPTON,5A,Upton,MA,42.17382,-71.60971
228,01569,MA,WORCESTER,UXBRIDGE,5A,Uxbridge,MA,42.064978,-71.62992
229,01570,MA,WORCESTER,WEBSTER,5A,Webster,MA,42.047728,-71.86108
230,01571,MA,WORCESTER,DUDLEY,5A,Dudley,MA,42.049864,-71.9173
231,01581,MA,WORCESTER,WESTBOROUGH,5A,Westborough,MA,42.269845,-71.61408
232,01583,MA,WORCESTER,WEST BOYLSTON,5A,West Boylston,MA,42.359842,-71.787
233,01585,MA,WORCESTER,WEST BROOKFIELD,5A,West Brookfield,MA,42.242965,-72.16734
234,01588,MA,WORCESTER,WHITINSVILLE,5A,Whitinsville,MA,42.114195,-71.67225
235,01590,MA,WORCESTER,SUTTON,5A,Sutton,MA,42.131028,-71.75121
236,01601,MA,WORCESTER,WORCESTER,5A,Worcester,MA,42.265275,-71.879415
237,01602,MA,WORCESTER,WORCESTER,5A,Worcester,MA,42.272359,-71.84482
238,01603,MA,WORCESTER,WORCESTER,5A,Worcester,MA,42.240526,-71.83776
239,01604,MA,WORCESTER,WORCESTER,5A,Worcester,MA,42.255393,-71.77459
240,01605,MA,WORCESTER,WORCESTER,5A,Worcester,MA,42.286543,-71.78846
241,01606,MA,WORCESTER,WORCESTER,5A,Worcester,MA,42.311342,-71.79531
242,01607,MA,WORCESTER,WORCESTER,5A,Worcester,MA,42.229543,-71.79501
243,01608,MA,WORCESTER,WORCESTER,5A,Worcester,MA,42.261343,-71.80173
244,01609,MA,WORCESTER,WORCESTER,5A,Worcester,MA,42.271743,-71.81348
245,01610,MA,WORCESTER,WORCESTER,5A,Worcester,MA,42.248493,-71.80793
246,01611,MA,WORCESTER,CHERRY VALLEY,5A,Cherry Valley,MA,42.238449,-71.87139
247,01612,MA,WORCESTER,PAXTON,5A,Paxton,MA,42.307591,-71.91929
248,01613,MA,WORCESTER,WORCESTER,5A,Worcester,MA,42.293316,-71.801971
249,01614,MA,WORCESTER,WORCESTER,5A,Worcester,MA,42.364807,-71.896868
250,01615,MA,WORCESTER,WORCESTER,5A,Worcester,MA,42.364807,-71.896868
251,01653,MA,WORCESTER,WORCESTER,5A,Worcester,MA,42.364807,-71.896868
252,01655,MA,WORCESTER,WORCESTER,5A,Worcester,MA,42.364807,-71.896868
253,01701,MA,MIDDLESEX,FRAMINGHAM,5A,Framingham,MA,42.318695,-71.42344
254,01702,MA,MIDDLESEX,FRAMINGHAM,5A,Framingham,MA,42.283995,-71.42161
255,01703,MA,MIDDLESEX,FRAMINGHAM,5A,Framingham,MA,42.446396,-71.459405
256,01704,MA,MIDDLESEX,FRAMINGHAM,5A,Framingham,MA,42.446396,-71.459405
257,01718,MA,MIDDLESEX,VILLAGE OF NAGOG WOODS,5A,Village Of Nagog Woods,MA,42.519739,-71.42721
258,01719,MA,MIDDLESEX,BOXBOROUGH,5A,Boxborough,MA,42.486259,-71.51244
259,01720,MA,MIDDLESEX,ACTON,5A,Acton,MA,42.477142,-71.4422
260,01721,MA,MIDDLESEX,ASHLAND,5A,Ashland,MA,42.257956,-71.45886
261,01730,MA,MIDDLESEX,BEDFORD,5A,Bedford,MA,42.496679,-71.27504
262,01731,MA,MIDDLESEX,HANSCOM AFB,5A,Hanscom AFB,MA,42.459085,-71.27556
263,01740,MA,WORCESTER,BOLTON,5A,Bolton,MA,42.437086,-71.61266
264,01741,MA,MIDDLESEX,CARLISLE,5A,Carlisle,MA,42.5286,-71.35084
265,01742,MA,MIDDLESEX,CONCORD,5A,Concord,MA,42.457201,-71.37478
266,01745,MA,WORCESTER,FAYVILLE,5A,Fayville,MA,42.295544,-71.50468
267,01746,MA,MIDDLESEX,HOLLISTON,5A,Holliston,MA,42.196065,-71.43797
268,01747,MA,WORCESTER,HOPEDALE,5A,Hopedale,MA,42.125536,-71.53662
269,01748,MA,MIDDLESEX,HOPKINTON,5A,Hopkinton,MA,42.220447,-71.53418
270,01749,MA,MIDDLESEX,HUDSON,5A,Hudson,MA,42.389813,-71.55791
271,01752,MA,MIDDLESEX,MARLBOROUGH,5A,Marlborough,MA,42.350909,-71.54753
272,01754,MA,MIDDLESEX,MAYNARD,5A,Maynard,MA,42.430781,-71.45594
273,01756,MA,WORCESTER,MENDON,5A,Mendon,MA,42.092006,-71.54474
274,01757,MA,WORCESTER,MILFORD,5A,Milford,MA,42.149176,-71.52149
275,01760,MA,MIDDLESEX,NATICK,5A,Natick,MA,42.290763,-71.35368
276,01770,MA,MIDDLESEX,SHERBORN,5A,Sherborn,MA,42.231025,-71.37202
277,01772,MA,WORCESTER,SOUTHBOROUGH,5A,Southborough,MA,42.297643,-71.53369
278,01773,MA,MIDDLESEX,LINCOLN,5A,Lincoln,MA,42.425537,-71.30316
279,01775,MA,MIDDLESEX,STOW,5A,Stow,MA,42.423882,-71.51086
280,01776,MA,MIDDLESEX,SUDBURY,5A,Sudbury,MA,42.38532,-71.42989
281,01778,MA,MIDDLESEX,WAYLAND,5A,Wayland,MA,42.345583,-71.35643
282,01784,MA,MIDDLESEX,WOODVILLE,5A,Woodville,MA,42.446396,-71.459405
283,01801,MA,MIDDLESEX,WOBURN,5A,Woburn,MA,42.484545,-71.15206
284,01803,MA,MIDDLESEX,BURLINGTON,5A,Burlington,MA,42.506362,-71.20008
285,01805,MA,MIDDLESEX,BURLINGTON,5A,Burlington,MA,42.446396,-71.459405
286,01810,MA,ESSEX,ANDOVER,5A,Andover,MA,42.646942,-71.1513
287,01812,MA,ESSEX,ANDOVER,5A,Andover,MA,42.647191,-71.184202
288,01815,MA,MIDDLESEX,WOBURN,5A,Woburn,MA,42.446396,-71.459405
289,01821,MA,MIDDLESEX,BILLERICA,5A,Billerica,MA,42.54805,-71.25054
290,01824,MA,MIDDLESEX,CHELMSFORD,5A,Chelmsford,MA,42.595491,-71.3544
291,01826,MA,MIDDLESEX,DRACUT,5A,Dracut,MA,42.677772,-71.316
292,01827,MA,MIDDLESEX,DUNSTABLE,5A,Dunstable,MA,42.671356,-71.50292
293,01830,MA,ESSEX,HAVERHILL,5A,Haverhill,MA,42.78519,-71.07011
294,01831,MA,ESSEX,HAVERHILL,5A,Haverhill,MA,42.771095,-71.122054
295,01832,MA,ESSEX,HAVERHILL,5A,Haverhill,MA,42.781357,-71.11023
296,01833,MA,ESSEX,GEORGETOWN,5A,Georgetown,MA,42.729437,-70.98291
